EpochTime,DeviceType,GPSMode,ReceiverType,latitude,longitude,speed,course,altitude,seperation,terrainElev,ehspe,espe,evpe,LowestGForce,LowestGForceXAccelleration,LowestGForceYAccelleration,LowestGForceZAccelleration,HighestGForce,HighestGForceXAccelleration,HighestGForceYAccelleration,HighestGForceZAccelleration,pitch,pitchrate,roll,rollrate,yaw,yawrate,platformid,WasActiveSource,FlightType,FlightModeStatus
1736273990,7,3,0,42.769501,-1.645800,73.106049,336.302002,1694.350342,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999156,-0.002000,-0.847000,-0.530000,1.001064,-0.001000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273991,7,3,0,42.769798,-1.646000,73.162422,336.192993,1708.265137,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999156,-0.002000,-0.847000,-0.530000,1.001913,-0.002000,-0.849000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273992,7,3,0,42.770100,-1.646200,73.247948,336.083008,1721.935669,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998944,-0.001000,-0.848000,-0.528000,1.001913,-0.002000,-0.849000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273993,7,3,0,42.770401,-1.646400,73.358749,336.032013,1735.384888,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998625,-0.001000,-0.847000,-0.529000,1.001597,-0.002000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273994,7,3,0,42.770699,-1.646600,73.481209,336.041992,1748.642700,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998626,-0.002000,-0.847000,-0.529000,1.001597,-0.002000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273995,7,3,0,42.771000,-1.646800,73.611450,336.153015,1761.747681,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998944,-0.001000,-0.848000,-0.528000,1.001064,-0.001000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273996,7,3,0,42.771301,-1.647000,73.739738,336.377991,1774.742432,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.001064,-0.001000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273997,7,3,0,42.771599,-1.647200,73.877754,336.791992,1787.678833,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.001596,-0.001000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273998,7,3,0,42.771900,-1.647400,74.002159,337.170990,1800.650879,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.001064,-0.001000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736273999,7,3,0,42.772202,-1.647700,74.095467,337.304993,1813.727417,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999159,-0.003000,-0.847000,-0.530000,1.001065,-0.002000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
